date,bean,corn,neisan,tuza,waisan
2017/12/14,3210.97,1866.62,14.89,14.52,15.21
2017/12/15,3211.22,1871.47,14.87,14.52,15.22
2017/12/16,3207.12,1865.97,14.85,14.53,15.2
2017/12/17,3213.03,1871.19,14.85,14.53,15.17
2017/12/18,3209.56,1867.94,14.83,14.5,15.19
2017/12/19,3206.53,1863.28,14.84,14.52,15.21
2017/12/20,3208,1867.41,14.83,14.53,15.19
2017/12/21,3206.41,1869.25,14.85,14.54,15.19
2017/12/22,3200.97,1873,14.86,14.51,15.17
2017/12/23,3203.66,1858.19,14.86,14.51,15.17
2017/12/24,3191.62,1859.94,14.85,14.48,15.16
2017/12/25,3183.06,1859.81,14.83,14.45,15.15
2017/12/26,3186.56,1867.19,14.82,14.45,15.16
2017/12/27,3184.56,1869.19,14.81,14.42,15.17
2017/12/28,3184.44,1871.44,14.83,14.43,15.17
2017/12/29,3188.34,1875.38,14.82,14.45,15.14
2017/12/30,3185.62,1870.31,14.81,14.44,15.12
2017/12/31,3182.09,1865.78,14.77,14.41,15.12
2018/1/1,3183.66,1873.28,14.76,14.4,15.13
2018/1/10,3163.72,1886.56,14.9,14.62,15.4
2018/1/11,3171.53,1853.34,14.88,14.65,15.2
2018/1/12,3225.44,1879.19,15.04,14.7,15.31
2018/1/13,3229.34,1882,15,14.65,15.3
2018/1/14,3223.97,1885.75,14.97,14.64,15.28
2018/1/15,3229.09,1886.06,14.95,14.6,15.24
2018/1/16,3231.91,1895.91,14.96,14.58,15.23
2018/1/17,3226.59,1894.16,14.92,14.57,15.23
2018/1/18,3217.53,1893.19,14.9,14.53,15.18
2018/1/19,3209.38,1891.91,14.89,14.57,15.15
2018/1/2,3184.78,1878.66,14.75,14.43,15.14
2018/1/20,3210.84,1896.78,14.87,14.55,15.16
2018/1/21,3211.25,1903.5,14.81,14.48,15.11
2018/1/22,3229.72,1906.47,14.74,14.49,15.09
2018/1/23,3234.03,1909.41,14.69,14.45,15.05
2018/1/24,3210.16,1912.97,14.68,14.4,15.02
2018/1/25,3225.66,1914.06,14.65,14.4,15.01
2018/1/26,3201.53,1913.12,14.66,14.4,15.01
2018/1/27,3205.31,1913.41,14.65,14.39,14.99
2018/1/28,3205.62,1914.66,14.65,14.38,15
2018/1/29,3200.88,1913.84,14.67,14.36,14.97
2018/1/3,3188.56,1884.88,14.78,14.44,15.17
2018/1/30,3197.81,1911.78,14.71,14.41,14.98
2018/1/31,3195.25,1915.12,14.6,14.28,14.87
2018/1/4,3187.62,1887.03,14.78,14.46,15.18
2018/1/5,3175.53,1888.28,14.82,14.48,15.2
2018/1/6,3171.78,1890.22,14.86,14.54,15.24
2018/1/7,3172.56,1886.91,14.92,14.59,15.28
2018/1/8,3171.81,1892.22,15,14.63,15.38
